File Path,Line Number,Line Content,Match Type,Severity,Suggested Fix
NPM Enviroment Startup.txt,2,pip 25.1.1 from C:\Users\RobMo\OneDrive\Documents\helios\backend\venv\Lib\site-packages\pip (python 3.13),backend_venv,CRITICAL,Replace with root-level venv path
NPM Enviroment Startup.txt,2,pip 25.1.1 from C:\Users\RobMo\OneDrive\Documents\helios\backend\venv\Lib\site-packages\pip (python 3.13),hardcoded_paths,WARNING,Use relative paths or environment variables
PYTHON_VENV_SETUP.md,10,cd c:\Users\RobMo\OneDrive\Documents\helios,hardcoded_paths,WARNING,Use relative paths or environment variables
PYTHON_VENV_SETUP.md,19,cd c:\Users\RobMo\OneDrive\Documents\helios,hardcoded_paths,WARNING,Use relative paths or environment variables
start-helios.ps1,13,exactly like the Docker container serves from /app/static.,docker_references,INFO,Ensure Docker paths align with local development
start-helios.ps1,38,"Write-Host "" Static Files: dist/ -> server.py static_folder (like Docker /app/static)"" -ForegroundColor White",docker_references,INFO,Ensure Docker paths align with local development
start-helios.ps1,58,"Write-Host ""  This mirrors Docker: COPY --from=frontend-builder /app/dist /app/static"" -ForegroundColor Gray",docker_references,INFO,Ensure Docker paths align with local development
start-helios.ps1,78,"Write-Host ""  Flask app serves static files from dist/ (like Docker /app/static)"" -ForegroundColor White",docker_references,INFO,Ensure Docker paths align with local development
start-server-clean.ps1,20,"Write-Host ""Static files location: ../dist (mirrors Docker /app/static)"" -ForegroundColor White",docker_references,INFO,Ensure Docker paths align with local development
start-server-clean.ps1,25,# Change to backend directory (mirrors Docker WORKDIR /app/backend),docker_references,INFO,Ensure Docker paths align with local development
start-server.ps1,20,"Write-Host ""Static files location: ../dist (mirrors Docker /app/static)"" -ForegroundColor White",docker_references,INFO,Ensure Docker paths align with local development
start-server.ps1,25,# Change to backend directory (mirrors Docker WORKDIR /app/backend),docker_references,INFO,Ensure Docker paths align with local development
start-server.sh,3,"echo "" Static files location: /app/static""",docker_references,INFO,Ensure Docker paths align with local development
start-server.sh,4,"echo "" Backend location: /app/backend""",docker_references,INFO,Ensure Docker paths align with local development
start-server.sh,7,cd /app/backend,docker_references,INFO,Ensure Docker paths align with local development
STARTUP_SUCCESS.md,52,Added tasks in `.vscode/tasks.json`:,vscode_settings,INFO,Verify VS Code settings consistency
SYSTEM_SCHEMA.md,213,.vscode/                      # VS Code configuration,vscode_settings,INFO,Verify VS Code settings consistency
UNIFIED_DEPLOYMENT_READY.md,21,- **Stage 1**: Builds React frontend into static files (`/app/static`),docker_references,INFO,Ensure Docker paths align with local development
UNIFIED_DEPLOYMENT_READY.md,22,- **Stage 2**: Python environment with Flask backend (`/app/backend`),docker_references,INFO,Ensure Docker paths align with local development
UNIFIED_DEPLOYMENT_READY.md,31,/app/,docker_references,INFO,Ensure Docker paths align with local development
UNIFIED_DEPLOYMENT_READY.md,60,# ... builds React app to /app/dist,docker_references,INFO,Ensure Docker paths align with local development
UNIFIED_DEPLOYMENT_READY.md,70,"- **Modified app creation**: `Flask(__name__, static_folder='/app/static')`",docker_references,INFO,Ensure Docker paths align with local development
UNIFIED_DEPLOYMENT_READY.md,80,cd /app/backend,docker_references,INFO,Ensure Docker paths align with local development
UNIFIED_DEPLOYMENT_READY.md,95,- `GET /assets/main.js` → Flask serves from `/app/static/assets/`,docker_references,INFO,Ensure Docker paths align with local development
UNIFIED_DEPLOYMENT_READY.md,124,Your trained models and SQLite database (`helios_memory.db`) will be created in the persistent volume mounted at `/app/data/`. Configure Cloud Run with:,docker_references,INFO,Ensure Docker paths align with local development
UNIFIED_DEPLOYMENT_READY.md,128,"--add-volume-mount volume=helios-data,mount-path=/app/data",docker_references,INFO,Ensure Docker paths align with local development
UNIFIED_STARTUP_IMPLEMENTATION.md,10,- **Dockerfile Stage 2**: Python production container copies `dist/` to `/app/static`,docker_references,INFO,Ensure Docker paths align with local development
UNIFIED_STARTUP_IMPLEMENTATION.md,29,# Mirrors: COPY --from=frontend-builder /app/dist /app/static,docker_references,INFO,Ensure Docker paths align with local development
UNIFIED_STARTUP_IMPLEMENTATION.md,32,"# Mirrors: CMD [""/app/start-server.sh""]",docker_references,INFO,Ensure Docker paths align with local development
UNIFIED_STARTUP_IMPLEMENTATION.md,39,if os.path.exists('/app/static'):,docker_references,INFO,Ensure Docker paths align with local development
UNIFIED_STARTUP_IMPLEMENTATION.md,41,static_folder_path = '/app/static',docker_references,INFO,Ensure Docker paths align with local development
UNIFIED_STARTUP_IMPLEMENTATION.md,89,- **Static File Serving**: Flask serves `dist/` files (like Docker `/app/static`),docker_references,INFO,Ensure Docker paths align with local development
UNIFIED_STARTUP_IMPLEMENTATION.md,122,- **Docker**: `/app/static` (copied from builder stage),docker_references,INFO,Ensure Docker paths align with local development
backend\server.py,46,"# In Docker: /app/static, In local development: ../dist",docker_references,INFO,Ensure Docker paths align with local development
backend\server.py,49,if os.path.exists('/app/static'):,docker_references,INFO,Ensure Docker paths align with local development
backend\server.py,51,static_folder_path = '/app/static',docker_references,INFO,Ensure Docker paths align with local development
tools\helios_path_analyzer.py,68,"'regex': re.compile(r'[""\']?/app/[^""\']*[""\']?'),",docker_references,INFO,Ensure Docker paths align with local development
tools\helios_path_analyzer.py,306,"parser.add_argument('--root', default=r""C:\Users\RobMo\OneDrive\Documents\helios"",",hardcoded_paths,WARNING,Use relative paths or environment variables
tools\verify-dependencies-fixed.ps1,5,"$ProjectDir = ""C:\Users\RobMo\OneDrive\Documents\helios""",hardcoded_paths,WARNING,Use relative paths or environment variables
tools\verify-dependencies.ps1,5,"$ProjectDir = ""C:\Users\RobMo\OneDrive\Documents\helios""",hardcoded_paths,WARNING,Use relative paths or environment variables
